train_acc,train_loss,epoch,step,val_loss,val_acc
0.4722656309604645,1.0804299116134644,0,49,,
0.3359375,0.7582100033760071,0,99,,
,,0,115,1.0554169416427612,0.5348072052001953
0.4989257752895355,0.9179239869117737,1,149,,
0.48388671875,0.7273090481758118,1,199,,
,,1,231,1.0307681560516357,0.5745463967323303
0.24570313096046448,0.7835444808006287,2,249,,
0.32060545682907104,0.6669797301292419,2,299,,
,,2,347,0.9666703343391418,0.4041619300842285
0.513378918170929,0.4866470992565155,3,349,,
0.45166015625,0.5129589438438416,3,399,,
0.511914074420929,0.7436824440956116,3,449,,
,,3,463,0.9992170929908752,0.3511360287666321
0.5130859613418579,0.5185297131538391,4,499,,
0.534375011920929,0.6781856417655945,4,549,,
,,4,579,0.8974851369857788,0.4392443299293518
0.6104491949081421,0.8552327752113342,5,599,,
0.659472644329071,0.5537589192390442,5,649,,
,,5,695,1.2824382781982422,0.32855528593063354
0.4521484375,0.4593004286289215,6,699,,
0.4371093809604645,0.5829485058784485,6,749,,
0.3837890625,0.5960572361946106,6,799,,
,,6,811,1.095872402191162,0.4942539632320404
0.4126953184604645,0.9617156386375427,7,849,,
0.51611328125,0.5317806601524353,7,899,,
,,7,927,0.887567400932312,0.5015926361083984
0.6849609613418579,0.6674127578735352,8,949,,
0.49091798067092896,0.5980060696601868,8,999,,
,,8,1043,1.1143959760665894,0.46052345633506775
0.5990234613418579,0.6201541423797607,9,1049,,
0.7227538824081421,0.5063366889953613,9,1099,,
0.40654295682907104,0.6476374268531799,9,1149,,
,,9,1159,1.118950366973877,0.4323687255382538
0.4000000059604645,0.6033347249031067,10,1199,,
0.6717773675918579,0.6120818257331848,10,1249,,
,,10,1275,0.8083499670028687,0.49793538451194763
0.4676757752895355,0.6434497237205505,11,1299,,
0.6185547113418579,0.5312246680259705,11,1349,,
,,11,1391,1.0936548709869385,0.5432189702987671
0.669726550579071,0.530738353729248,12,1399,,
0.4976562559604645,0.3943285048007965,12,1449,,
0.6172851324081421,0.49108386039733887,12,1499,,
,,12,1507,0.858938455581665,0.5002533197402954
0.45234376192092896,0.5295299887657166,13,1549,,
0.48271483182907104,0.6055973768234253,13,1599,,
,,13,1623,1.0328055620193481,0.4408634305000305
0.580371081829071,0.5543122887611389,14,1649,,
0.49384766817092896,0.4764564335346222,14,1699,,
,,14,1739,0.8597478270530701,0.5296138525009155
0.5894531011581421,0.5292332768440247,15,1749,,
0.6766601800918579,0.6627921462059021,15,1799,,
0.7616211175918579,0.4907728135585785,15,1849,,
,,15,1855,0.9405781626701355,0.5312442779541016
0.7230468988418579,0.5559619069099426,16,1899,,
0.7408202886581421,0.5469905138015747,16,1949,,
,,16,1971,0.906251072883606,0.48305922746658325
0.6865234375,0.3891462981700897,17,1999,,
0.66357421875,0.44865676760673523,17,2049,,
,,17,2087,0.8636685013771057,0.6710001230239868
0.7308593988418579,0.3955373466014862,18,2099,,
0.7275390625,0.5343520641326904,18,2149,,
0.717578113079071,0.4157736301422119,18,2199,,
,,18,2203,0.856097936630249,0.5510488152503967
0.697949230670929,0.5079131126403809,19,2249,,
0.695019543170929,0.4674853980541229,19,2299,,
,,19,2319,0.9593677520751953,0.7245352268218994
0.763671875,0.4107021987438202,20,2349,,
0.711718738079071,0.44305604696273804,20,2399,,
,,20,2435,1.1288729906082153,0.6828896999359131
0.712695300579071,0.5316025614738464,21,2449,,
0.8121093511581421,0.5255003571510315,21,2499,,
0.6524413824081421,0.37770572304725647,21,2549,,
,,21,2551,0.9093430042266846,0.5593514442443848
0.6631835699081421,0.46189960837364197,22,2599,,
0.80126953125,0.3590032458305359,22,2649,,
,,22,2667,0.803723931312561,0.5999516248703003
0.765332043170929,0.46332085132598877,23,2699,,
0.7064453363418579,0.39583930373191833,23,2749,,
,,23,2783,0.8516663312911987,0.6045375466346741
0.717578113079071,0.5880023837089539,24,2799,,
0.793261706829071,0.389908105134964,24,2849,,
0.6666666865348816,0.8584080934524536,24,2899,,
,,24,2899,1.0051157474517822,0.6081569194793701
0.8124023675918579,0.3740774989128113,25,2949,,
0.683886706829071,0.5087065100669861,25,2999,,
,,25,3015,0.9464653134346008,0.6711728572845459
0.7049804925918579,0.48013460636138916,26,3049,,
0.64501953125,0.3886057734489441,26,3099,,
,,26,3131,0.8710877299308777,0.6432243585586548
0.7665039300918579,0.42960208654403687,27,3149,,
0.7994140386581421,0.45373162627220154,27,3199,,
,,27,3247,0.9080125689506531,0.542293131351471
0.6338866949081421,0.5292165279388428,28,3249,,
0.719531238079071,0.6724063158035278,28,3299,,
0.714550793170929,0.5500908493995667,28,3349,,
,,28,3363,0.8996402025222778,0.595234751701355
0.723339855670929,0.4387299716472626,29,3399,,
0.758593738079071,0.5090420246124268,29,3449,,
,,29,3479,0.9599713683128357,0.684913158416748
0.7596679925918579,0.43280670046806335,30,3499,,
0.7528320550918579,0.4310969412326813,30,3549,,
,,30,3595,0.8464462757110596,0.599574089050293
0.746289074420929,0.3901450037956238,31,3599,,
0.819042980670929,0.4792214035987854,31,3649,,
0.76513671875,0.3773857355117798,31,3699,,
,,31,3711,0.8600943684577942,0.7320847511291504
0.739941418170929,0.45297130942344666,32,3749,,
